index,ep_summary,air_date,ep_nums,ep_title,episode,season,year,MoveFromCity,MoveFromCountry,MoveToCity,MoveToCountry,NumBlanks,Origin,Destination,GeoCategory,lat_orig,lon_orig,lat_dest,lon_dest,distance_km,Skip,InputDataKey
1,"After attending college in the United States, 27-year-old Tyson Ennis returned home to Costa Rica and moved back in with his parents, who own a place in the city of Escazu (southwest of Costa Rica's capital, San Jose). Tyson is close to his family, but after living on his own, he now feels a little closed in. So, although it's customary for children in Costa Rica to live with their families until they marry, he is breaking tradition and searching for a space to call his own. He's hoping to find a place with two bedrooms and a view that is close to his parents' home, but he knows that with a budget equivalent to $150,000, he'll probably be limited to buying a condominium. With his family's blessing--and their input--the search is on. Real estate Agent Edward Fridovich signs on to help.",20-Feb-06,S01E01,Planting New Costa Rican Roots,1,1,2006,,United States,Escazu,Costa Rica,1,,"Escazu, Costa Rica",Missing Origin City,,,,,,Can not get data,0
2,"Real estate agent Michelle Owens adores her life in Charleston, S.C., but after vacationing in Belize six years ago, she fell in love with the exquisite natural beauty of the Central American country--so much so, that she's decided to make it her new home. She wants a large house with plenty of guest bedrooms for visiting friends and a drop-dead view of the Caribbean Sea. She doesn't want the hassle of construction, so to increase her options, she widens her search to include not only the beach area, but also the scenic jungle regions, where wild monkeys are neighbors and breathtaking views are still the norm. Helping with her search is real estate agent Howard Oldham.",17-Apr-06,S01E02,Belize Bound,2,1,2006,"Charleston, South Carolina",United States,,Belize,1,"Charleston, South Carolina",,Missing Destination City,,,,,,Can not get data,0
3,"Gary Howorka and his girlfriend, Rebecca Anderson, love the laidback lakefront home they live in on Minnesota's Lake Minnetonka. But with cold temperatures half the year and crowded tourist-filled waterways the other half, they are ready to escape to a true water-lovers paradise--a secluded tropical island. After hearing about Roatan, Honduras, from a friend, the couple went for a visit and were hooked by the friendly locals and beautiful water spots. They are ready to pack up and move there permanently. Local real estate agent Jeff J. Thekan is ready to show these Minnesotans how to invest their money wisely in a piece of island paradise.",4-Sep-06,S01E03,Honduras Home Hunt,3,1,2006,"Lake Minnetonka, Minnesota",United States,Roatan,Honduras,0,"Lake Minnetonka, Minnesota","Roatan, Honduras",All,44.9298398,-93.58408933,16.3274234,-86.53648146,3248.1,Can get data,0
4,"After living with his sister for five years, Sao Paulo resident Vinnie Porto de Oliveira is ready to buy a place of his own. Sao Paulo is the largest city in Brazil, with a population of 17 million, so it's no wonder that the real estate market is highly competitive. The demand for condominiums alone is so high that units are routinely sold long before construction is complete. Vinnie is looking for a place in the fashionable Jardins district. Can Paola Alambert help him achieve this goal?",2-Jun-06,S01E04,Sao Paulo Search,4,1,2006,Sao Paulo,Brazil,Sao Paulo,Brazil,0,"Sao Paulo, Brazil","Sao Paulo, Brazil",All,-23.5506507,-46.6333824,-23.5506507,-46.6333824,0,Can get data,0
5,"Martin Michajluk and his fiancee, Eva Dakovova, live about 45 minutes from each other in the outlying districts of Prague, the capital of the Czech Republic. When they want to spend quality time together, Martin joins Eva at her parents' apartment. While visiting with Eva's folks is nice, the couple is ready to set up house and start their own lives together. They know that they can't afford to live in the culturally rich city center, so they will have to look at homes in the outlying districts--Prague's version of the suburbs. Helping them with their search is real estate agent Marketa Holla.",23-Jun-06,S01E05,Picking a Place in Prague,5,1,2006,Prague,Czech Republic,Prague,Czech Republic,0,"Prague, Czech Republic","Prague, Czech Republic",All,50.0864234,14.4156772,50.0864234,14.4156772,0,Can get data,0
6,"Charlotte Stromwall and Karin Tingstedt are longtime residents of Malmo, Sweden, a small cosmopolitan area on the southernmost tip of the country. Six years ago the couple and their dog, Yellow, moved into a tiny, but beautiful, two-bedroom, two-bath apartment near the beach. Working and socializing in the small space has become increasingly difficult, so they have decided to look for a lot more breathing room. One thing's for sure, though--they definitely want to stay in Malmo. They call on real estate agent and friend Daniel Jonsson to help them with their search.",26-Jun-06,S01E06,More Room Needed in Malmo,6,1,2006,Malmo,Sweden,Malmo,Sweden,0,"Malmo, Sweden","Malmo, Sweden",All,55.6052931,13.0001566,55.6052931,13.0001566,0,Can get data,0
7,"Donna and Patrick Rollins' four-bedroom Nassau, Bahamas, home just is not big enough for the couple and their three growing kids. Though they have tried to renovate the house to make it a better fit, the couple has decided to find a new place with great views and high ceilings that will accommodate Patrick's tall frame. With the help of real estate agent Sara Parker, the Rollins family is ready to find their dream home.",1-May-06,S01E08,Dream Home in the Bahamas,7,1,2006,Nassau,Bahamas,Nassau,Bahamas,0,"Nassau, Bahamas","Nassau, Bahamas",All,25.0782266,-77.3383438,25.0782266,-77.3383438,0,Can get data,0
8,"Donna and Patrick Rollins' four-bedroom Nassau, Bahamas, home just is not big enough for the couple and their three growing kids. Though they have tried to renovate the house to make it a better fit, the couple has decided to find a new place with great views and high ceilings that will accommodate Patrick's tall frame. With the help of real estate agent Sara Parker, the Rollins family is ready to find their dream home.",24-Apr-06,S01E07,Beachside Dream Home,8,1,2006,,,Nassau,The Bahamas,2,,"Nassau, The Bahamas",All Destination,,,,,,Can not get data,0
9,"Seeley Oliver is a hard-working businesswoman who needs an escape from the hustle and bustle of New York City. She wants a slice of paradise, so she is moving to the Caribbean. See if she can find her dream home in a secret tropical getaway, where the housing market is so hot that homes are sold before they are built. Helping her with her search is real estate agent Rico Pester.",5-Jun-06,S01E09,Dominican Dream,9,1,2006,"New York, New York",United States,,Caribbean,1,"New York, New York",,Missing Destination City,,,,,,Can not get data,0
10,"Attorney Fred Royce bought his home called Henderson Castle in Kalamazoo, Mich., more than 20 years ago. He has recently turned into a bed-and-breakfast. As much as he loves his home, he has discovered another passion a world away--the beautiful Buenos Aires, the capital of Argentina. He wants to make the city his new home base and has set his sights on one of the ritziest areas. Helping him with his search is real estate agent Michael Koh.",8-May-06,S01E10,Buenos Aires Condo,10,1,2006,"Kalamazoo, Michigan",United States,Buenos Aires,Argentina,0,"Kalamazoo, Michigan","Buenos Aires, Argentina",All,42.291707,-85.5872286,-34.6075682,-58.4370894,8986.52,Can get data,0
